,지하철명,4시~5시,5시~6시,6시~7시,7시~8시,8시~9시,9시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,24시~1시,1시~2시,2시~3시,3시~4시,X좌표,Y좌표,_PARCEL_AD
426,보정,94.0,1105.0,5353.0,12454.0,17083.0,10116.0,6975.0,6693.0,6396.0,6191.0,6574.0,8098.0,10137.0,11434.0,11289.0,8575.0,5827.0,5094.0,4942.0,2970.0,169.0,0.0,0.0,0.0,127.108196,37.312752,경기도 용인시 기흥구 보정동 1285
427,죽전,1499.0,5979.0,23530.0,62982.0,73168.0,54121.0,41710.0,38443.0,41536.0,41404.0,43097.0,46987.0,55735.0,68483.0,88267.0,64963.0,51352.0,35613.0,30093.0,17742.0,7483.0,2.0,0.0,0.0,127.107395,37.324753,경기도 용인시 수지구 죽전동 1287
428,구성,101.0,3126.0,10606.0,28213.0,32160.0,18144.0,13855.0,12671.0,12177.0,12232.0,12304.0,14446.0,17600.0,23892.0,29298.0,23652.0,14855.0,11425.0,11000.0,6183.0,490.0,0.0,0.0,0.0,127.105664,37.298969,경기도 용인시 기흥구 마북동 457-5
429,신갈,42.0,3120.0,10423.0,23103.0,28053.0,16404.0,12105.0,11865.0,12478.0,12819.0,12521.0,13983.0,15840.0,19332.0,24347.0,18021.0,12114.0,9383.0,9898.0,5446.0,343.0,0.0,0.0,0.0,127.111313,37.286102,경기도 용인시 기흥구 신갈동 167
430,기흥,271.0,6785.0,19412.0,53951.0,75045.0,35120.0,24464.0,25548.0,23050.0,26884.0,26313.0,26960.0,34328.0,48841.0,64209.0,46033.0,28540.0,24243.0,22349.0,12205.0,1146.0,1.0,0.0,0.0,127.116665,37.275449,경기도 용인시 기흥구 구갈동 480-36
431,상갈,78.0,3770.0,10943.0,28492.0,33850.0,19083.0,14085.0,12955.0,12984.0,13804.0,12857.0,14617.0,19772.0,24966.0,30962.0,21733.0,14939.0,13690.0,11015.0,6087.0,637.0,2.0,0.0,0.0,127.108847,37.26181,경기도 용인시 기흥구 상갈동 492
432,청명,11.0,3303.0,9549.0,25811.0,30040.0,13942.0,9741.0,9132.0,10070.0,10230.0,10155.0,11439.0,14151.0,19045.0,26139.0,17189.0,11192.0,9783.0,8733.0,4718.0,379.0,0.0,0.0,0.0,127.078934,37.259489,경기도 수원시 영통구 영통동 1055
433,영통,62.0,4241.0,11598.0,28531.0,47290.0,29598.0,22394.0,22300.0,25637.0,26288.0,25550.0,27945.0,34163.0,46688.0,56149.0,36019.0,25464.0,25516.0,23838.0,11750.0,651.0,0.0,0.0,0.0,127.071394,37.251568,경기도 수원시 영통구 영통동 1055
434,망포,61.0,7775.0,31339.0,83846.0,102123.0,44929.0,26925.0,26134.0,28252.0,28304.0,26057.0,34246.0,44379.0,70845.0,97317.0,70671.0,44943.0,36621.0,30710.0,17048.0,1259.0,0.0,0.0,0.0,127.057353,37.245795,경기도 수원시 영통구 영통동 1069
435,매탄권선,116.0,4567.0,13138.0,27740.0,35016.0,17668.0,11442.0,10810.0,12071.0,11553.0,10379.0,13279.0,18331.0,23570.0,31368.0,21477.0,14108.0,11932.0,10909.0,6406.0,679.0,1.0,0.0,0.0,127.040566,37.252759,경기도 수원시 영통구 매탄동 687-4
436,수원시청,254.0,7629.0,19328.0,49026.0,83896.0,48679.0,29729.0,30235.0,35705.0,36886.0,33073.0,39170.0,49109.0,65307.0,93725.0,61052.0,42351.0,36620.0,30799.0,16008.0,1582.0,2.0,0.0,0.0,127.030736,37.261911,경기도 수원시 권선구 권선동 1120
437,매교,405.0,4340.0,11395.0,24180.0,31957.0,13452.0,9396.0,9307.0,10601.0,9511.0,9769.0,11067.0,15466.0,22949.0,25249.0,16533.0,10757.0,9368.0,8149.0,3955.0,444.0,0.0,0.0,0.0,127.015678,37.265481,경기도 수원시 팔달구 매교동 283-28
438,고색,593.0,3079.0,10213.0,32140.0,38983.0,12391.0,7395.0,7895.0,8328.0,8206.0,7924.0,8950.0,12278.0,24541.0,33768.0,17788.0,12989.0,9465.0,7099.0,3995.0,1995.0,0.0,0.0,0.0,126.980248,37.24963,경기도 수원시 권선구 고색동 381-32
439,오목천,11.0,927.0,7161.0,15949.0,25025.0,16471.0,10941.0,9453.0,13177.0,13284.0,8987.0,12060.0,19874.0,18679.0,23422.0,12255.0,6916.0,6796.0,6685.0,3592.0,276.0,0.0,0.0,0.0,126.963676,37.24304,경기도 수원시 권선구 오목천동 472-5
440,어천,3.0,329.0,2389.0,5360.0,6804.0,3292.0,2948.0,2827.0,3090.0,3558.0,2969.0,3501.0,4891.0,6122.0,6986.0,3584.0,1824.0,1662.0,1332.0,632.0,59.0,0.0,0.0,0.0,126.90879,37.250102,경기도 화성시 매송면 어천리 411-1
441,야목,2.0,207.0,1161.0,1967.0,1887.0,1142.0,986.0,850.0,923.0,920.0,831.0,1030.0,1484.0,1638.0,1698.0,1058.0,455.0,644.0,406.0,274.0,62.0,0.0,0.0,0.0,126.879483,37.264179,경기도 화성시 매송면 야목리 452-7
442,사리,0.0,4470.0,12801.0,28918.0,30063.0,15422.0,11408.0,9700.0,11201.0,11936.0,10185.0,12132.0,16669.0,18523.0,29033.0,19157.0,11490.0,12128.0,9056.0,5993.0,826.0,0.0,0.0,0.0,126.85685,37.28998,경기도 안산시 상록구 사동 299-5
